Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",False,False
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,True,False
Cole Aldrich,2011,2016,C,6-11,250,"October 31, 1988",University of Kansas,True,False
LaMarcus Aldridge,2007,2016,F,6-11,240,"July 19, 1985",University of Texas at Austin,True,False
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut,False,False
Cliff Alexander,2016,2016,F,6-8,240,"November 16, 1995",University of Kansas,True,False
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,False,False
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno",False,False
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida,False,False
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,False,False
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,False,False
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,False,False
Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University,False,False
Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,False,False
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,False,False
Lavoy Allen,2012,2016,F-C,6-9,255,"February 4, 1989",Temple University,True,False
Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",False,False
Malik Allen,2002,2011,F,6-10,255,"June 27, 1978",Villanova University,False,False
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,False,False
Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,False,False
Tony Allen,2005,2016,G-F,6-4,213,"January 11, 1982",Oklahoma State University,True,False
Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,False,False
Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",False,False
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981",Weber State University,False,False
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",False,False
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,False,False
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,False,False
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",False,False
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University,False,False
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970",Pennsylvania State University,False,False
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University,False,False
Al-Farouq Aminu,2011,2016,F,6-9,215,"September 21, 1990",Wake Forest University,True,False
Lou Amundson,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas",True,False
Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University,False,False
Chris Andersen,2002,2016,F-C,6-10,245,"July 7, 1978",Blinn College,True,False
David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,False,False
Alan Anderson,2006,2016,G-F,6-6,220,"October 16, 1982",Michigan State University,True,False
Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius College,False,False
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis,False,False
Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University,False,False
Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,False,False
Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California,False,False
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky,False,False
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960",University of Southern California,False,False
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University,False,False
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston,False,False
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University,False,False
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University,True,False
Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University,False,False
Justin Anderson,2016,2016,G,6-6,228,"November 19, 1993",University of Virginia,True,False
Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology,False,False
Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri,False,False
Kyle Anderson,2015,2016,G-F,6-9,230,"September 20, 1993","University of California, Los Angeles",True,False
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University,False,False
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign,False,False
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara",False,False
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno",False,False
Ryan Anderson,2009,2016,F,6-10,240,"May 6, 1988",University of California,True,False
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia,False,False
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia,False,False
Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University,False,False
Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",,False,False
Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University,False,False
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama,False,False
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,False,False
Giannis Antetokounmpo,2014,2016,F-G,6-11,222,"December 6, 1994",,True,False
Thanasis Antetokounmpo,2016,2016,F,6-7,205,"July 17, 1992",,True,False
Carmelo Anthony,2004,2016,F,6-8,240,"May 29, 1984",Syracuse University,True,False
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas",False,False
Joel Anthony,2008,2016,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",True,False
Pero Antic,2014,2015,F,6-11,260,"July 29, 1982",,True,False
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University,True,False
Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University,False,False
Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University,False,False
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign,False,False
Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso,False,True
Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati,False,False
Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona,False,False
Trevor Ariza,2005,2016,F,6-8,215,"June 30, 1985","University of California, Los Angeles",True,False
Paul Arizin,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University,False,True
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,False,False
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa,False,False
Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University,False,False
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University,False,False
Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University,False,False
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,False,False
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,False,False
Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke University,False,False
Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University,False,False
Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin,False,False
Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame,False,False
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,False,False
Darrell Arthur,2009,2016,F,6-9,235,"March 25, 1988",University of Kansas,True,False
John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane University,False,False
Omer Asik,2011,2016,C,7-0,255,"July 4, 1986",,True,False
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis,False,False
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama,False,False
Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,False,False
Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,False,False
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida,False,False
Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University,False,False
Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University,False,False
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas",False,False
D.J. Augustin,2009,2016,G,6-0,183,"November 10, 1987",University of Texas at Austin,True,False
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign,False,False
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University,False,False
Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,False,False
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,False,False
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University,False,False
Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University,False,False
William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke University,False,False
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University,False,False
Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",,True,False
Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University,True,False
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky,False,False
Chris Babb,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University,True,False
Luke Babbitt,2011,2016,F,6-9,225,"June 20, 1989","University of Nevada, Reno",True,False
Milos Babic,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,False,False
Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham University,False,False
Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",University of Louisville,False,False
Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,False,False
Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980",,False,False
John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,False,False
Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,False,False
Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",University of Texas at El Paso,False,False
James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,False,False
Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University,False,False
Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles",False,False
Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico,True,False
Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii,False,False
LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University,False,False
Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University,False,False
Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",,False,False
Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,False,False
Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina,True,False
Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte,False,False
Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon,False,False
Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Pennsylvania State University,False,False
Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University,False,False
Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas",False,False
Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky University,False,False
Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960",Saint Augustine's College,False,False
Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University,False,False
John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",False,False
Leandro Barbosa,2004,2016,G,6-3,194,"November 28, 1982",,True,False
Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign,False,False
J.J. Barea,2007,2016,G,6-0,185,"June 26, 1984",Northeastern University,True,False
Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",,True,False
Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky,False,False
Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",University of Hawaii,False,False
Charles Barkley,1985,2000,F,6-6,252,"February 20, 1963",Auburn University,False,True
Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's University,False,False
Don Barksdale,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles",False,True
Harrison Barnes,2013,2016,F,6-8,210,"May 30, 1992",University of North Carolina,True,False
Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,False,False
Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",University of Texas at El Paso,False,False
Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence College,False,False
Matt Barnes,2004,2016,F,6-7,226,"March 9, 1980","University of California, Los Angeles",True,False
Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State University,False,False
Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",University of Oregon,False,False
Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,False,False
John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State University,False,False
Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State University,False,False
Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",University of Notre Dame,False,False
John Barr,1947,1947,F,6-3,205,"August 8, 1918",Pennsylvania State University,False,False
Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne University,False,False
Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne University,False,False
Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University,False,False
Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State University,False,False
Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia University Institute of Technology,False,False
Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis,True,False
Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College,False,False
Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University,False,False
Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology,False,False
Jon Barry,1993,2006,G,6-4,195,"July 25, 1969",Georgia Institute of Technology,False,False
Rick Barry,1966,1980,F,6-7,205,"March 28, 1944",University of Miami,False,True
Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",North Carolina State University,False,False
Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State University,False,False
Will Barton,2013,2016,G,6-6,175,"January 6, 1991",University of Memphis,True,False
Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte,False,False
Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple University,False,False
Brandon Bass,2006,2016,F,6-8,250,"April 30, 1985",Louisiana State University,True,False
Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",University of Georgia,False,False
Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan,False,False
Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",,False,False
Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,False,False
Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",,False,False
Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University,False,False
Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University,False,False
Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University,False,False
John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,False,False
Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964",University of Illinois at Urbana-Champaign,False,False
Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",University of Notre Dame,False,False
Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",University of Cincinnati,False,False
Nicolas Batum,2009,2016,F-G,6-8,200,"December 14, 1988",,True,False
Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple University,False,False
Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,False,False
Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland,False,False
Jerryd Bayless,2009,2016,G,6-3,200,"August 20, 1988",University of Arizona,True,False
Elgin Baylor,1959,1972,F,6-5,225,"September 16, 1934",Seattle University,False,True
Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",University of Tennessee,False,False
Aron Baynes,2013,2016,C,6-10,260,"December 9, 1986",Washington State University,True,False
Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",,False,False
Kent Bazemore,2013,2016,G-F,6-5,201,"July 1, 1989",Old Dominion University,True,False
Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia University,False,False
Bradley Beal,2013,2016,G,6-5,207,"June 28, 1993",University of Florida,True,False
Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State University,False,False
Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",University of Louisville,False,False
Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",University of Kentucky,False,False
Charles Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",Southern Methodist University,False,False
Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980",University of North Dakota,False,False
John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M University,False,False
Michael Beasley,2009,2016,F,6-9,235,"January 9, 1989",Kansas State University,True,False
Zelmo Beaty,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University,False,True
Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",,True,False
Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945",University of Denver,False,False
Corey Beck,1996,1999,G,6-1,190,"May 27, 1971",University of Arkansas,False,False
Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",University of Pennsylvania,False,False
Arthur Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State University,False,False
Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne University,False,False
Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford University,False,False
William Bedford,1987,1993,C,7-0,225,"December 14, 1963",University of Memphis,False,False
Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University,False,False
Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",University of Minnesota,False,False
Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley University,False,False
Marco Belinelli,2008,2016,G-F,6-5,210,"March 25, 1986",,True,False
Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State University,False,False
Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University,False,False
Raja Bell,2001,2012,G,6-5,204,"September 19, 1976",Florida International University,False,False
Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College,False,False
Whitey Bell,1960,1961,G,6-0,180,"September 13, 1932",North Carolina State University,False,False
Walt Bellamy,1962,1975,C,6-11,225,"July 24, 1939",Indiana University,False,True
Irv Bemoras,1954,1957,F-G,6-3,185,"November 18, 1930",University of Illinois at Urbana-Champaign,False,False
Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University,False,False
Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",,False,False
Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991",Towson University,True,False
Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton University,False,False
Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State University,False,False
Anthony Bennett,2014,2016,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas",True,False
Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",University of Notre Dame,False,False
Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State University,False,False
Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",University of Pittsburgh,False,False
Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State University,False,False
Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",University of Wisconsin-Green Bay,False,False
Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",University of Kentucky,False,False
David Benoit,1992,2001,F,6-8,220,"May 9, 1968",University of Alabama,False,False
Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland University,True,False
Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana University,False,False
Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette University,False,False
Gary Bergen,1957,1957,C,6-8,210,"July 16, 1932",University of Utah,False,False
Larry Bergh,1970,1970,F,6-8,210,"April 2, 1945",Weber State University,False,False
Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964",San Jose State University,False,False
Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's University,False,False
Del Beshore,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania,False,False
Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Institute of Technology,False,False
Patrick Beverley,2013,2016,G,6-1,185,"July 12, 1988",University of Arkansas,True,False
Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State University,True,False
Wesley Bialosuknia,1968,1968,G,6-2,185,"June 8, 1945",University of Connecticut,False,False
Al Bianchi,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green State University,False,False
Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Long Island University,False,False
Henry Bibby,1973,1981,G,6-1,185,"November 24, 1949","University of California, Los Angeles",False,False
Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",University of Arizona,False,False
Ed Biedenbach,1969,1969,G,6-1,175,"August 12, 1945",North Carolina State University,False,False
Andris Biedrins,2005,2014,C,6-11,240,"April 2, 1986",,False,False
Don Bielke,1956,1956,C,6-7,240,,Valparaiso University,False,False
Bob Bigelow,1976,1979,F-G,6-7,215,"December 26, 1953",University of Pennsylvania,False,False
Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne University,False,False
Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",University of Colorado,False,False
Dave Bing,1967,1978,G,6-3,180,"November 24, 1943",Syracuse University,False,True
Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina Agricultural and Technical State University,False,False
Jerry Bird,1959,1959,F,6-6,210,"February 2, 1935",University of Kentucky,False,False
Larry Bird,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University,False,True
Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",University of Houston,False,False
Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State University,False,False
Bismack Biyombo,2012,2016,C-F,6-9,245,"August 28, 1992",,True,False
Nemanja Bjelica,2016,2016,F,6-10,240,"May 9, 1988",,True,False
Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana University,False,False
Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",University of Kansas,False,False
Norman Black,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's University,False,False
Tarik Black,2015,2016,C-F,6-9,250,"November 22, 1991",University of Kansas,True,False
Tom Black,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State University,False,False
Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State University,False,False
Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University,False,False
Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",University of Wisconsin,False,False
James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College,False,False
Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple University,False,False
